REGION,OFFICE,USER_NAME,LAST_ACTIVE
Gauteng,Alexandra,AllegraM,2022/11/24 15:45:43
Gauteng,Alexandra,DimakatsoS,2022/12/12 14:20:42
Gauteng,Alexandra,MduduziMa,2022/12/09 15:16:17
Gauteng,Alexandra,SibongileM,2022/08/30 15:54:16
Gauteng,Archie Gumede,CFogwillA,2022/05/11 12:33:25
Gauteng,Archie Gumede,NoncebaMg,2022/03/25 11:28:13
Gauteng,Benoni,MatshidisoTs,2021/03/31 13:57:08
Gauteng,Benoni,MaureenNy,2022/12/02 15:11:57
Gauteng,Benoni,SithembisileP,2021/01/19 12:40:55
Gauteng,Benoni,XitshembhisoM,2022/12/12 14:49:21
Gauteng,Bronkhorstspruit,LindaMa,2022/03/11 14:16:00
Gauteng,Bronkhorstspruit,SamuelMac,2022/01/11 12:58:59
Gauteng,Carletonville,Agnes,2022/11/29 09:05:06
Gauteng,Carletonville,AubreyMon,2022/11/09 09:45:05
Gauteng,Carletonville,CikizwaMh,2022/12/05 13:50:30
Gauteng,Carletonville,MosadiemangM,2022/11/22 08:08:24
Gauteng,Carletonville,TshegofatsoM,2022/12/05 15:24:01
Gauteng,Carletonville,VuyiswaB,2022/10/19 12:28:13
Gauteng,Chiawelo,SisandaM,2022/12/05 14:53:37
Gauteng,De Aar,NozukoD,2021/11/09 15:58:41
Gauteng,Delmas,SbonganganiM,2022/09/23 12:33:21
Gauteng,Dipaleseng,PhilisiweN,2020/06/11 14:37:39
Gauteng,Dobsonville,LindiweNg,2022/02/22 15:16:03
Gauteng,Duduza,CynthiaX,2022/12/09 09:48:50
Gauteng,Duduza,DelisileMa,2022/11/29 15:50:12
Gauteng,Duduza,JamesMos,2022/12/02 11:39:24
Gauteng,Duduza,PuseletsoS,2022/11/29 14:11:46
Gauteng,EC_Region,SithembeleD,2022/05/05 14:41:51
Gauteng,Eerste River,BenjaminO,2022/01/26 09:02:15
Gauteng,Ekangala,MartinsM,2022/09/15 15:09:46
